,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques
252,there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more books than movies have you read ?,10 11 13 12,- number2 number3,1.0,"[1, 2, 3, 4, 5, 6, 7, 8, 37, 38, 39, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 11",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more books than movies have you read ?
253,there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more movies than books have you read ?,11 17 7 21,- number3 number2,14.0,"[1, 2, 3, 4, 5, 6, 7, 8, 37, 38, 39, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 13",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more movies than books have you read ?
254,you have read number0 books from the ' crazy silly school ' series . if there are a total of number1 different books in the ' crazy silly school ' series how many more do you still have to read ?,8 14,- number1 number0,6.0,"[2, 3, 4, 37, 38, 7, 39, 19, 20, 21, 22]",Subtraction,32,you have read number0 books from the ' crazy silly school ' series . if there are a total of number1 different books in the ' crazy silly school ' series,how many more do you still have to read ?
255,there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more books do you still have to read ?,62 19 4 34,- number1 number2,15.0,"[1, 2, 3, 4, 5, 6, 7, 8, 38, 39, 40, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 31",there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more books do you still have to read ?
256,there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more movies do you still have to watch ?,8 21 7 4,- number0 number3,4.0,"[1, 2, 3, 4, 5, 6, 7, 8, 38, 39, 40, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 13, 31",there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more movies do you still have to watch ?
257,there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more books than movies are there in the ' crazy silly school ' series ?,14 15 11 40,- number1 number0,1.0,"[1, 2, 3, 4, 5, 6, 7, 8, 44, 45, 14, 15, 46, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 11, 31",there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more books than movies are there in the ' crazy silly school ' series ?
258,there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more movies than books are there in the ' crazy silly school ' series ?,17 11 13 63,- number0 number1,6.0,"[1, 2, 3, 4, 5, 6, 7, 8, 44, 45, 14, 15, 46, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 13, 31",there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more movies than books are there in the ' crazy silly school ' series ?
259,there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the movies and watched number3 of the books how many more books than movies have you read ?,10 6 14 19,- number3 number2,5.0,"[1, 2, 3, 4, 5, 6, 7, 8, 37, 38, 39, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 11",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the movies and watched number3 of the books,how many more books than movies have you read ?
260,there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the movies and watched number3 of the books how many more movies than books have you read ?,8 5 19 16,- number2 number3,3.0,"[1, 2, 3, 4, 5, 6, 7, 8, 37, 38, 39, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 13",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the movies and watched number3 of the books,how many more movies than books have you read ?
261,at the arcade dave had won number0 tickets . he used some tickets to buy toys . if he still has number1 tickets left how many tickets did dave use to buy toys ?,7 2,- number0 number1,5.0,"[32, 1, 3, 5, 6, 7, 8, 20, 21, 22, 30, 31]",Subtraction,23,at the arcade dave had won number0 tickets . he used some tickets to buy toys . if he still has number1 tickets left,how many tickets did dave use to buy toys ?
262,at the arcade dave had won some tickets . he used number0 tickets to buy some toys . if he still has number1 tickets left how many tickets did dave win at the arcade ?,12 14,+ number0 number1,26.0,"[32, 1, 33, 3, 5, 8, 10, 11, 12, 21, 22, 23, 31]",Addition,23,at the arcade dave had won some tickets . he used number0 tickets to buy some toys . if he still has number1 tickets left,how many tickets did dave win at the arcade ?
263,at the arcade dave had won number0 tickets . if he used number1 to buy some toys and number2 more to buy some clothes how many tickets did dave have left ?,18 5 11,- number0 + number1 number2,2.0,"[5, 6, 7, 11, 12, 13, 16, 17, 18, 19, 21, 28, 29, 30]",Subtraction,21,at the arcade dave had won number0 tickets . if he used number1 to buy some toys and number2 more to buy some clothes,how many tickets did dave have left ?
264,at the arcade dave had won number0 tickets . if he used number1 to buy some toys and number2 more to buy some clothes how many more tickets did dave use to buy toys than he did to buy clothes ?,19 12 7,- number1 number2,5.0,"[5, 6, 7, 37, 38, 39, 11, 12, 13, 16, 17, 18, 19, 23]",Subtraction,"21, 11",at the arcade dave had won number0 tickets . if he used number1 to buy some toys and number2 more to buy some clothes,how many more tickets did dave use to buy toys than he did to buy clothes ?
265,at the arcade dave had won number0 tickets . if he used number1 to buy some toys and number2 more to buy some clothes how many more tickets did dave use to buy clothes than he did to buy toys ?,13 8 18,- number2 number1,10.0,"[5, 6, 7, 37, 38, 39, 11, 12, 13, 16, 17, 18, 19, 23]",Subtraction,"21, 11",at the arcade dave had won number0 tickets . if he used number1 to buy some toys and number2 more to buy some clothes,how many more tickets did dave use to buy clothes than he did to buy toys ?
266,at the arcade dave had won number0 tickets and lost number1 tickets . if he used number2 to buy some toys how many tickets did dave have left ?,14 2 10,- - number0 number1 number2,2.0,"[5, 6, 7, 9, 10, 11, 14, 15, 16, 17, 25, 26, 27]",Subtraction,21,at the arcade dave had won number0 tickets and lost number1 tickets . if he used number2 to buy some toys,how many tickets did dave have left ?
267,haley grew number0 trees in her backyard . after a typhoon number1 died . how many more trees died in the typhoon than those that survived ?,14 9,- number1 - number0 number1,4.0,"[1, 2, 3, 4, 10, 11, 12, 23, 24, 25]",Subtraction,11,haley grew number0 trees in her backyard . after a typhoon number1 died .,how many more trees died in the typhoon than those that survived ?
268,haley grew number0 trees in her backyard . after a typhoon number1 died . how many more trees survived the typhoon than those that died ?,13 6,- - number0 number1 number1,1.0,"[1, 2, 3, 4, 10, 11, 12, 22, 23, 24]",Subtraction,11,haley grew number0 trees in her backyard . after a typhoon number1 died .,how many more trees survived the typhoon than those that died ?
269,haley grew number0 trees in her backyard . after a typhoon number1 trees were left . how many trees died in the typhoon ?,20 4,- number0 number1,16.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22]",Subtraction,23,haley grew number0 trees in her backyard . after a typhoon number1 trees were left .,how many trees died in the typhoon ?
270,haley grew some trees in her backyard . after a typhoon number0 died . if number1 trees were left how many trees did she grow ?,5 12,+ number0 number1,17.0,"[1, 6, 10, 11, 12, 14, 15, 16, 22, 23, 24]",Addition,23,haley grew some trees in her backyard . after a typhoon number0 died . if number1 trees were left,how many trees did she grow ?
271,haley grew number0 trees in her backyard . after a typhoon number1 died . then she grew number2 more trees . how many trees does she have left ?,9 4 5,+ - number0 number1 number2,10.0,"[1, 2, 3, 4, 6, 10, 11, 12, 16, 17, 18, 19, 25, 26, 27]",Addition,21,haley grew number0 trees in her backyard . after a typhoon number1 died . then she grew number2 more trees .,how many trees does she have left ?
272,after a typhoon number0 trees in haley 's backyard died . if she had grown number1 trees initially how many trees does she have left ?,2 12,- number1 number0,10.0,"[2, 3, 4, 8, 9, 13, 14, 15, 16, 22, 23, 24]",Subtraction,32,after a typhoon number0 trees in haley 's backyard died . if she had grown number1 trees initially,how many trees does she have left ?
273,after a typhoon number0 trees in haley 's backyard died . if she had grown number1 trees initially how many more trees died in the typhoon than those that survived ?,13 3,- number0 - number1 number0,23.0,"[2, 3, 4, 8, 9, 11, 14, 15, 16, 27, 28, 29]",Subtraction,"11, 32",after a typhoon number0 trees in haley 's backyard died . if she had grown number1 trees initially,how many more trees died in the typhoon than those that survived ?
274,after a typhoon number0 trees in haley 's backyard died . if she had grown number1 trees initially how many more trees survived the typhoon than those that died ?,2 11,- - number1 number0 number0,7.0,"[2, 3, 4, 8, 9, 11, 14, 15, 16, 26, 27, 28]",Subtraction,"11, 32",after a typhoon number0 trees in haley 's backyard died . if she had grown number1 trees initially,how many more trees survived the typhoon than those that died ?
275,he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day . how many oranges do they harvest per day if each sack contains number1 oranges ?,66 28,* number0 number1,1848.0,"[32, 33, 34, 1, 5, 11, 15, 16, 17, 18, 27, 30]",Multiplication,13,he then went to see the oranges being harvested . he found out that they harvest number0 sacks per day .,how many oranges do they harvest per day if each sack contains number1 oranges ?
